Date,Open,High,Low,Close,Adj Close,Volume
2011-10-04,24270000128.000000,24480000000.000000,20579999744.000000,20579999744.000000,20579999744.000000,0
2011-10-05,19746000896.000000,19889999872.000000,18137999360.000000,18137999360.000000,18137999360.000000,0
2011-10-06,18114000896.000000,18780000256.000000,17400000512.000000,17400000512.000000,17400000512.000000,0
2011-10-07,17057999872.000000,18575998976.000000,16848000000.000000,17652000768.000000,17652000768.000000,0
2011-10-10,16547999744.000000,16560000000.000000,15594000384.000000,15594000384.000000,15594000384.000000,0
2011-10-11,15701999616.000000,15726000128.000000,14910000128.000000,15059999744.000000,15059999744.000000,0
2011-10-12,13944000512.000000,13944000512.000000,12485999616.000000,12876000256.000000,12876000256.000000,0
2011-10-13,13319999488.000000,14021999616.000000,12965999616.000000,12965999616.000000,12965999616.000000,0
2011-10-14,11736000512.000000,12414000128.000000,11484000256.000000,11687999488.000000,11687999488.000000,0
2011-10-17,11573999616.000000,13950000128.000000,11573999616.000000,13950000128.000000,13950000128.000000,0
2011-10-18,13848000512.000000,14771999744.000000,11909999616.000000,13020000256.000000,13020000256.000000,0
2011-10-19,12600000512.000000,14832000000.000000,12359999488.000000,14465999872.000000,14465999872.000000,0
2011-10-20,14652000256.000000,15678000128.000000,14279999488.000000,14490000384.000000,14490000384.000000,0
2011-10-21,13523999744.000000,14010000384.000000,13020000256.000000,13020000256.000000,13020000256.000000,0
2011-10-24,12702000128.000000,12702000128.000000,11381999616.000000,11436000256.000000,11436000256.000000,0
2011-10-25,11742000128.000000,13109999616.000000,11742000128.000000,12929999872.000000,12929999872.000000,0
2011-10-26,11898000384.000000,13745999872.000000,11772000256.000000,11904000000.000000,11904000000.000000,0
2011-10-27,9438000128.000000,9918000128.000000,8561999872.000000,8730000384.000000,8730000384.000000,0
2011-10-28,9048000512.000000,9185999872.000000,8465999872.000000,8574000128.000000,8574000128.000000,0
2011-10-31,9383999488.000000,10398000128.000000,9233999872.000000,10398000128.000000,10398000128.000000,0
2011-11-01,13560000512.000000,14087999488.000000,12618000384.000000,13445999616.000000,13445999616.000000,0
2011-11-02,12480000000.000000,13518000128.000000,12323999744.000000,12618000384.000000,12618000384.000000,0
2011-11-03,11886000128.000000,13415999488.000000,11322000384.000000,11429999616.000000,11429999616.000000,0
2011-11-04,12012000256.000000,12714000384.000000,11525999616.000000,11861999616.000000,11861999616.000000,0
2011-11-07,11994000384.000000,12600000512.000000,11640000512.000000,11646000128.000000,11646000128.000000,0
2011-11-08,11328000000.000000,11964000256.000000,10499999744.000000,10547999744.000000,10547999744.000000,0
2011-11-09,12126000128.000000,14609999872.000000,11969999872.000000,14453999616.000000,14453999616.000000,0
2011-11-10,12750000128.000000,14250000384.000000,12540000256.000000,12624000000.000000,12624000000.000000,0
2011-11-11,11687999488.000000,11706000384.000000,11280000000.000000,11573999616.000000,11573999616.000000,0
2011-11-14,11916000256.000000,12588000256.000000,11868000256.000000,12126000128.000000,12126000128.000000,0
2011-11-15,12563999744.000000,12792000512.000000,11694000128.000000,11891999744.000000,11891999744.000000,0
2011-11-16,12636000256.000000,13205999616.000000,11760000000.000000,13043999744.000000,13043999744.000000,0
2011-11-17,13242000384.000000,14789999616.000000,13008000000.000000,14286000128.000000,14286000128.000000,0
2011-11-18,13470000128.000000,14268000256.000000,13308000256.000000,13308000256.000000,13308000256.000000,0
2011-11-21,14723999744.000000,14766000128.000000,13475999744.000000,13637999616.000000,13637999616.000000,0
2011-11-22,13781999616.000000,14051999744.000000,12995999744.000000,13068000256.000000,13068000256.000000,0
2011-11-23,13692000256.000000,14304000000.000000,13505999872.000000,14243999744.000000,14243999744.000000,0
2011-11-25,14339999744.000000,14712000512.000000,13788000256.000000,14609999872.000000,14609999872.000000,0
2011-11-28,12666000384.000000,13500000256.000000,12444000256.000000,13217999872.000000,13217999872.000000,0
2011-11-29,12965999616.000000,13223999488.000000,12401999872.000000,12659999744.000000,12659999744.000000,0
2011-11-30,10956000256.000000,11141999616.000000,10362000384.000000,10416000000.000000,10416000000.000000,0
2011-12-01,10499999744.000000,10547999744.000000,9804000256.000000,9941999616.000000,9941999616.000000,0
2011-12-02,9365999616.000000,9930000384.000000,9041999872.000000,9882000384.000000,9882000384.000000,0
2011-12-05,9072000000.000000,10062000128.000000,9048000512.000000,9852000256.000000,9852000256.000000,0
2011-12-06,9852000256.000000,9978000384.000000,9509999616.000000,9761999872.000000,9761999872.000000,0
2011-12-07,10049999872.000000,10830000128.000000,10044000256.000000,10380000256.000000,10380000256.000000,0
2011-12-08,10956000256.000000,11495999488.000000,10800000000.000000,11340000256.000000,11340000256.000000,0
2011-12-09,11027999744.000000,11052000256.000000,9726000128.000000,9767999488.000000,9767999488.000000,0
2011-12-12,10122000384.000000,10499999744.000000,9792000000.000000,9792000000.000000,9792000000.000000,0
2011-12-13,9402000384.000000,10097999872.000000,8988000256.000000,9713999872.000000,9713999872.000000,0
2011-12-14,9683999744.000000,10163999744.000000,9438000128.000000,9749999616.000000,9749999616.000000,0
2011-12-15,9072000000.000000,9269999616.000000,8789999616.000000,9024000000.000000,9024000000.000000,0
2011-12-16,8430000128.000000,9144000512.000000,8430000128.000000,8922000384.000000,8922000384.000000,0
2011-12-19,8730000384.000000,8880000000.000000,8369999872.000000,8723999744.000000,8723999744.000000,0
2011-12-20,7961999872.000000,7961999872.000000,7649999872.000000,7656000000.000000,7656000000.000000,0
2011-12-21,7505999872.000000,7728000000.000000,6624000000.000000,6648000000.000000,6648000000.000000,0
2011-12-22,6353999872.000000,6780000256.000000,6102000128.000000,6641999872.000000,6641999872.000000,0
2011-12-23,6456000000.000000,7091999744.000000,6438000128.000000,6960000000.000000,6960000000.000000,0
2011-12-27,6899999744.000000,6947999744.000000,6696000000.000000,6881999872.000000,6881999872.000000,0
2011-12-28,6798000128.000000,7470000128.000000,6798000128.000000,7427999744.000000,7427999744.000000,0
2011-12-29,7331999744.000000,7344000000.000000,7049999872.000000,7073999872.000000,7073999872.000000,0
2011-12-30,7073999872.000000,7302000128.000000,7020000256.000000,7296000000.000000,7296000000.000000,0
2012-01-03,6624000000.000000,6702000128.000000,6449999872.000000,6528000000.000000,6528000000.000000,0
